conversation_id,turn,starter,timestamp,text_qc_reasons,author_1,author_1_text_qc_reasons,author_1_text_qc_char_count,author_1_text_qc_alpha_ratio,author_1_text_qc_symbol_ratio,author_1_text_qc_keyboard_pattern_ratio,author_1_text_qc_word_vowel_ratio,author_1_text_qc_long_no_vowel_tokens,author_2
conv_69047b8230ec81978e293aa69f2995920a957af157320d7c,1,author_1,2025-10-31 09:04:34.775000+00:00,author_1:keyboard_smash_pattern,dsfklaskjldf jlasdjkf jklasdljkf ljkasdfljkas,keyboard_smash_pattern,45.0,1.0,0.0,0.3333333333333333,1.0,0.0,"Es scheint, als hättest du ein paar Tasten zufällig gedrückt. Möchtest du mit einer Geschichte beginnen? Vielleicht möchtest"
conv_69047c3cb0808196a74dc1d21882c94d0471c3c89a474f34,1,author_1,2025-10-31 09:07:30.881000+00:00,author_1:keyboard_smash_pattern,asdfksalkjdfkj asjkldfljk asjkdlflj kasdf,keyboard_smash_pattern,41.0,1.0,0.0,0.3684210526315789,1.0,0.0,It seems like there might have been a mix-up. Could you please provide a specific object or idea for the story?
conv_690481f821888196b63c1d98a6b7d2bc0b69a88388d54467,1,author_1,2025-10-31 09:32:25.902000+00:00,author_1:keyboard_smash_pattern,asdfjk alsjkdfjlk aljksdflja sljkdfljk asd,keyboard_smash_pattern,42.0,1.0,0.0,0.18421052631578946,0.8,1.0,It seems like there might have been a mix-up with your input. Could you please provide the object or idea you'd like to start the
conv_690482a529a081969704a23a1f70fb150cb8b95f2f753ed7,1,author_1,2025-10-31 09:36:23.543000+00:00,author_1:keyboard_smash_pattern,sdfkjlaslid fjklaslkjdflj kasljkdfas,keyboard_smash_pattern,36.0,1.0,0.0,0.2647058823529412,1.0,0.0,It seems like there might be a typo or an error. Could you please clarify or start the story with an object from the future?
conv_69048341d2608197a337a5a216a716f00b2bbc65822cb6e3,1,author_1,2025-10-31 09:37:27.022000+00:00,author_1:keyboard_smash_pattern,zsdælk fjkælasdæljkfæ jlasdæjkfl asdf,keyboard_smash_pattern,37.0,1.0,0.0,0.20588235294117646,1.0,0.0,"Es scheint, als hättest du einen Tippfehler gemacht. Möchtest du die Geschichte noch einmal beginnen oder einen neuen Satz schreiben"
conv_6904a50f52348194a8105676abf484b408bd2a5c069cd1bb,1,author_1,2025-10-31 12:01:39.686000+00:00,author_1:keyboard_smash_pattern,fdklæasædkl fklæasdfkl aslkædfkæl asdf,keyboard_smash_pattern,38.0,1.0,0.0,0.3142857142857143,1.0,0.0,400 Unsupported parameter: 'temperature' is not supported with this model.
conv_6904a569c1c48190ab09f885973b3a610ea967cf6f1f18a3,1,author_1,2025-10-31 12:03:13.110000+00:00,author_1:keyboard_smash_pattern,ljjkdflkjaslkdf jklasdkljf ajklsdf,keyboard_smash_pattern,34.0,1.0,0.0,0.5,1.0,0.0,"Es scheint, als ob du gerade zufällige Buchstaben eingegeben hast. Wenn du bereit bist, eine Geschichte zu beginnen, lass"
conv_6904a569c1c48190ab09f885973b3a610ea967cf6f1f18a3,2,author_1,2025-10-31 12:03:40.183000+00:00,author_1:keyboard_smash_pattern,ælkælglæøsfdøgkl sdfgøæls dfløgæslkdæfgs,keyboard_smash_pattern,40.0,1.0,0.0,0.15789473684210525,1.0,0.0,
conv_6904a9851590819398aad57e2858a09e06d14919c5d8859d,1,author_1,2025-10-31 12:30:08.990000+00:00,author_1:keyboard_smash_pattern,kllhjkhljkjhkllhjklkjhklhjkljh,keyboard_smash_pattern,30.0,1.0,0.0,0.2,0.0,1.0,"Es scheint, als hättest du einen Tippfehler gemacht. Möchtest du eine neue Geschichte beginnen oder eine bestimmte Idee weiterver"
conv_6904ade60e288195bef6b5b815fbe7cc00d0eb06ec2b71a6,1,author_1,2025-10-31 13:22:00.687000+00:00,author_1:keyboard_smash_pattern,asdfklsa lkdfklæsa ækldfklæasdlæfk asd,keyboard_smash_pattern,38.0,1.0,0.0,0.3142857142857143,1.0,0.0,API rejected the request (see console).
